doc_id,english_sentence,chinese_sentence,identified_nominalization_en,nominalization_type,translation_technique
doc#42048,"ByMay1994,anadditional11GovernmentshadrequestedtheestablishmentofTradePoints,bringingthetotalnumberofcountriesto51,asnotedintheTradePointstatusreportdated11May1994(seedocumentTD/B/40(2)/28-TD/B/WG.2/14,annexII).ThesecretariatrespondedtotheserequestsbyadvisingGovernmentsonthestepstoundertakeinsettingupaTradePoint.","正如1994年5月11日《贸易点现状报告》(见TD/B/(40)/28-TD/B/WG.2/14号文件附件二)所述,截至1994年5月,又有11个国家政府提出了设立贸易点的请求,至此,提出这种请求的国家总数达到51个。",development,Derivational,Maintain_Noun
doc#42048,"ByMay1994,anadditional11GovernmentshadrequestedtheestablishmentofTradePoints,bringingthetotalnumberofcountriesto51,asnotedintheTradePointstatusreportdated11May1994(seedocumentTD/B/40(2)/28-TD/B/WG.2/14,annexII).ThesecretariatrespondedtotheserequestsbyadvisingGovernmentsonthestepstoundertakeinsettingupaTradePoint.","正如1994年5月11日《贸易点现状报告》(见TD/B/(40)/28-TD/B/WG.2/14号文件附件二)所述,截至1994年5月,又有11个国家政府提出了设立贸易点的请求,至此,提出这种请求的国家总数达到51个。",the implementation of policies,Phrasal,Shift_Word_Class
doc#42744,UNEP'smanagementhasconfirmedthatgenderbalanceisindeedagreatconcerntoUNEP.,环境署管理层已证实性别平衡的确引起了环境署的极大关注。,development,Derivational,Maintain_Noun
doc#42744,UNEP'smanagementhasconfirmedthatgenderbalanceisindeedagreatconcerntoUNEP.,环境署管理层已证实性别平衡的确引起了环境署的极大关注。,the implementation of policies,Phrasal,Shift_Word_Class
doc#29585,"RequestsforthereadmissionoftheRepublicofChinaonTaiwanhadoriginallybeensubmittedbysmallStates,namely,thosewhichwereinapositiontounderstandtheinjusticesufferedbytheRepublicofChina.","最初提出重新接纳中华民国在台湾的请求的都是小国,也就是能够理解中华民国所受不公正待遇的国家。",development,Derivational,Maintain_Noun
doc#29585,"RequestsforthereadmissionoftheRepublicofChinaonTaiwanhadoriginallybeensubmittedbysmallStates,namely,thosewhichwereinapositiontounderstandtheinjusticesufferedbytheRepublicofChina.","最初提出重新接纳中华民国在台湾的请求的都是小国,也就是能够理解中华民国所受不公正待遇的国家。",the implementation of policies,Phrasal,Shift_Word_Class
doc#43210,TheSpecialRepresentativereportedregularlytotheExecutiveCommitteeonPeaceandSecurityandtheExecutiveCommitteeonHumanitarianAffairsoncountryvisitsandotherinitiatives.,特别代表定期向和平与安全执行委员会和人道主义事务执行委员会报告国别访问和其他倡议的情况。,development,Derivational,Maintain_Noun
doc#43210,TheSpecialRepresentativereportedregularlytotheExecutiveCommitteeonPeaceandSecurityandtheExecutiveCommitteeonHumanitarianAffairsoncountryvisitsandotherinitiatives.,特别代表定期向和平与安全执行委员会和人道主义事务执行委员会报告国别访问和其他倡议的情况。,the implementation of policies,Phrasal,Shift_Word_Class
doc#32027,"Inimplementingresolution1997/47,theIndependentExperthasbeenfollowingthehumanrightssituationinSomalia,inparticularwiththeviewtoconsideringwaysandmeanstoestablishaprogrammeofadvisoryservicesandtechnicalassistance.","在执行第1997/47号决议过程中,独立专家一直注视索马里境内人权情况,尤其以考虑如何拟订一项咨询服务和技术合作方案的办法和途径为目标。",development,Derivational,Maintain_Noun
doc#32027,"Inimplementingresolution1997/47,theIndependentExperthasbeenfollowingthehumanrightssituationinSomalia,inparticularwiththeviewtoconsideringwaysandmeanstoestablishaprogrammeofadvisoryservicesandtechnicalassistance.","在执行第1997/47号决议过程中,独立专家一直注视索马里境内人权情况,尤其以考虑如何拟订一项咨询服务和技术合作方案的办法和途径为目标。",the implementation of policies,Phrasal,Shift_Word_Class
doc#45462,"Inconnectionwiththissubitem,theSubCommissionmaywishtonotepartIV(Protectionandpromotionoftherightsofchildreninparticularlyvulnerablesituations:childrenallegedtohaveorrecognizedashavinginfringedthepenallaw)ofresolution2000/85adoptedbytheCommissiononHumanRightsatitsfiftysixthsession.","关于这个分项目,小组委员会不妨注意人权委员会第五十六届会议通过的第2000/85号决议第四部分(保护和增进被指称或被确认触犯刑法的受难儿童的权利)。",development,Derivational,Maintain_Noun
doc#45462,"Inconnectionwiththissubitem,theSubCommissionmaywishtonotepartIV(Protectionandpromotionoftherightsofchildreninparticularlyvulnerablesituations:childrenallegedtohaveorrecognizedashavinginfringedthepenallaw)ofresolution2000/85adoptedbytheCommissiononHumanRightsatitsfiftysixthsession.","关于这个分项目,小组委员会不妨注意人权委员会第五十六届会议通过的第2000/85号决议第四部分(保护和增进被指称或被确认触犯刑法的受难儿童的权利)。",the implementation of policies,Phrasal,Shift_Word_Class
